time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,no.of neighbours
38.0,-gneE2,gneJ4,gneJ3,0.5,0.5,18.0,18.0,2
57.0,gneE2,gneJ3,gneJ4,0.5,0.5,40.0,40.0,2
76.0,gneE3,gneJ4,gneJ5,0.5,0.5,76.0,76.0,2
95.0,-gneE3,gneJ5,gneJ4,0.5,0.5,38.0,38.0,2
116.0,gneE3,gneJ4,gneJ5,1.522997951276035e-08,-17.5,58.0,40.0,2
135.0,-gneE3,gneJ5,gneJ4,0.7310585786300049,1.5,39.0,40.0,2
155.0,-gneE2,gneJ4,gneJ3,0.9999724643088853,-7.0,10.5,3.0,2
175.0,gneE2,gneJ3,gneJ4,0.5,0.5,40.0,40.0,2
194.0,-gneE2,gneJ4,gneJ3,0.9999999999998457,12.0,20.0,39.0,2
213.0,-gneE1,gneJ3,gneJ2,0.5,0.5,40.0,40.0,2
233.0,gneE1,gneJ2,gneJ3,1.0,1.0,38.0,38.0,1
254.0,gneE2,gneJ3,gneJ4,0.9999999999948909,26.5,53.0,79.0,2
275.0,-gneE2,gneJ4,gneJ3,1.0,19.5,22.5,30.0,2
295.0,gneE2,gneJ3,gneJ4,0.9996646498695336,8.5,47.0,29.0,2
314.0,-gneE2,gneJ4,gneJ3,1.0,32.7,25.8,39.0,2
333.0,gneE2,gneJ3,gneJ4,3.043155690056538e-05,-9.899999999999999,42.4,24.0,2
353.0,-gneE2,gneJ4,gneJ3,1.0,30.36666666666667,25.333333333333332,23.0,2
373.0,-gneE1,gneJ3,gneJ2,1.0,56.0,95.5,151.0,2
395.0,gneE1,gneJ2,gneJ3,1.0,3.0,40.0,42.0,1
415.0,-gneE1,gneJ3,gneJ2,0.9999999999999258,20.33333333333333,77.66666666666667,42.0,2
436.0,gneE1,gneJ2,gneJ3,1.0,-11.666666666666664,32.666666666666664,18.0,1
458.0,-gneE1,gneJ3,gneJ2,0.9857033941108754,-5.666666666666671,69.0,43.0,2
477.0,gneE1,gneJ2,gneJ3,1.0,-25.666666666666664,28.0,14.0,1
496.0,-gneE1,gneJ3,gneJ2,1.1695267374942999e-09,-30.46666666666667,62.8,38.0,2
517.0,gneE1,gneJ2,gneJ3,1.0,-39.266666666666666,24.6,11.0,1
537.0,gneE2,gneJ3,gneJ4,0.00030344703002892085,-38.56666666666666,36.666666666666664,8.0,2
558.0,-gneE2,gneJ4,gneJ3,0.9999999999999953,15.509523809523813,22.857142857142858,8.0,2
578.0,-gneE1,gneJ3,gneJ2,0.9999999999658412,-14.466666666666669,66.0,82.0,2
598.0,gneE1,gneJ2,gneJ3,1.0,-58.099999999999994,20.833333333333332,2.0,1
618.0,-gneE1,gneJ3,gneJ2,0.8598790442977023,-36.75238095238095,62.285714285714285,40.0,2
638.0,gneE1,gneJ2,gneJ3,1.0,-41.671428571428564,23.571428571428573,40.0,1
657.0,-gneE1,gneJ3,gneJ2,8.693290685235464e-09,-57.12738095238095,59.375,39.0,2
676.0,gneE1,gneJ2,gneJ3,1.0,-30.796428571428564,25.125,36.0,1
696.0,gneE2,gneJ3,gneJ4,0.9999999145214258,-40.85238095238095,36.285714285714285,34.0,2
717.0,-gneE2,gneJ4,gneJ3,1.0,24.384523809523813,24.125,33.0,2
738.0,gneE2,gneJ3,gneJ4,0.9999984848581835,-43.72738095238095,35.875,33.0,2
759.0,-gneE2,gneJ4,gneJ3,1.0,31.384523809523813,25.0,32.0,2
780.0,gneE2,gneJ3,gneJ4,0.9998845625935888,-48.06071428571428,35.333333333333336,31.0,2
801.0,-gneE2,gneJ4,gneJ3,1.0,35.88452380952381,25.5,30.0,2
822.0,gneE2,gneJ3,gneJ4,0.9666463876729245,-53.760714285714286,34.7,29.0,2
842.0,-gneE2,gneJ4,gneJ3,1.0,37.24816017316017,25.636363636363637,27.0,2
861.0,gneE2,gneJ3,gneJ4,0.0017253369957742912,-63.48798701298701,33.72727272727273,24.0,2
881.0,-gneE2,gneJ4,gneJ3,1.0,33.914826839826844,25.333333333333332,22.0,2
900.0,-gneE1,gneJ3,gneJ2,1.0,106.09484126984128,79.77777777777777,243.0,2
921.0,gneE1,gneJ2,gneJ3,1.0,-38.018650793650785,24.22222222222222,17.0,1
941.0,-gneE1,gneJ3,gneJ2,1.0,71.19484126984128,75.9,41.0,2
963.0,gneE1,gneJ2,gneJ3,1.0,-47.21865079365078,23.2,14.0,1
984.0,-gneE1,gneJ3,gneJ2,1.0,41.28575036075037,72.9090909090909,43.0,2
1004.0,gneE1,gneJ2,gneJ3,1.0,-56.491378066378054,22.272727272727273,13.0,1
1024.0,-gneE1,gneJ3,gneJ2,1.0,11.119083694083699,70.16666666666667,40.0,2
1045.0,gneE1,gneJ2,gneJ3,1.0,-68.65804473304472,21.166666666666668,9.0,1
1067.0,-gneE1,gneJ3,gneJ2,1.0,-13.957839382839381,68.07692307692308,43.0,2
1087.0,gneE1,gneJ2,gneJ3,1.0,-81.7349678099678,20.076923076923077,7.0,1
1107.0,-gneE1,gneJ3,gneJ2,0.9999999999351353,-40.02926795426795,66.07142857142857,40.0,2
1130.0,gneE1,gneJ2,gneJ3,1.0,-93.87782495282494,19.142857142857142,7.0,1
1151.0,-gneE1,gneJ3,gneJ2,0.9457676359874948,-60.629267954267945,64.6,44.0,2
1172.0,gneE1,gneJ2,gneJ3,1.0,-106.1444916194916,18.266666666666666,6.0,1
1193.0,-gneE1,gneJ3,gneJ2,1.0962549627400562e-08,-81.81676795426795,63.1875,42.0,2
1215.0,gneE1,gneJ2,gneJ3,1.0,-119.5194916194916,17.375,4.0,1
1243.0,gneE2,gneJ3,gneJ4,0.012895649843165272,-86.15465367965368,31.666666666666668,9.0,2
1265.0,-gneE2,gneJ4,gneJ3,0.9999999999999997,17.914826839826844,24.0,8.0,2
1285.0,-gneE1,gneJ3,gneJ2,0.9999999999999782,-54.69912089544441,64.88235294117646,92.0,2
1306.0,gneE1,gneJ2,gneJ3,1.0,-132.10772691360924,16.58823529411765,4.0,1
1325.0,-gneE1,gneJ3,gneJ2,0.999649406610008,-78.19912089544441,63.5,40.0,2
1345.0,gneE1,gneJ2,gneJ3,1.0,-110.94106024694257,17.833333333333332,39.0,1
1365.0,-gneE1,gneJ3,gneJ2,6.113319584085536e-07,-100.46227879018124,62.26315789473684,40.0,2
1385.0,gneE1,gneJ2,gneJ3,1.0,-89.94106024694257,19.0,40.0,1
1405.0,gneE2,gneJ3,gneJ4,0.9999999997210344,-78.46234598734598,32.30769230769231,40.0,2
1424.0,-gneE2,gneJ4,gneJ3,1.0,29.057683982683987,24.857142857142858,36.0,2
1443.0,gneE2,gneJ3,gneJ4,0.9999999976221655,-80.60520313020314,32.142857142857146,30.0,2
1464.0,-gneE2,gneJ4,gneJ3,1.0,33.85768398268399,25.2,30.0,2
1486.0,gneE2,gneJ3,gneJ4,0.9999997110684271,-85.40520313020313,31.8,27.0,2
1506.0,-gneE2,gneJ4,gneJ3,1.0,33.67018398268399,25.1875,25.0,2
1527.0,gneE2,gneJ3,gneJ4,0.998895299444423,-93.65520313020313,31.25,23.0,2
1547.0,-gneE2,gneJ4,gneJ3,1.0,28.787831041507516,24.88235294117647,20.0,2
1567.0,gneE2,gneJ3,gneJ4,0.0034583043805628253,-106.12579136549725,30.470588235294116,18.0,2
1586.0,-gneE2,gneJ4,gneJ3,0.9999999999999998,18.510053263729738,24.27777777777778,14.0,2
1605.0,-gneE1,gneJ3,gneJ2,1.0,68.38772120981875,71.15,240.0,2
1628.0,gneE1,gneJ2,gneJ3,1.0,-96.59106024694256,18.65,12.0,1
1649.0,-gneE1,gneJ3,gneJ2,1.0,42.53057835267589,69.85714285714286,44.0,2
1670.0,gneE1,gneJ2,gneJ3,1.0,-104.8291554850378,18.238095238095237,10.0,1
1691.0,-gneE1,gneJ3,gneJ2,1.0,15.939669261766795,68.5909090909091,42.0,2
1713.0,gneE1,gneJ2,gneJ3,1.0,-112.69279184867416,17.863636363636363,10.0,1
1734.0,-gneE1,gneJ3,gneJ2,1.0,-8.538591607798423,67.47826086956522,43.0,2
1755.0,gneE1,gneJ2,gneJ3,1.0,-124.04061793563068,17.347826086956523,6.0,1
1776.0,-gneE1,gneJ3,gneJ2,1.0,-32.955258274465095,66.41666666666667,42.0,2
1797.0,gneE1,gneJ2,gneJ3,1.0,-136.83228460229734,16.791666666666668,4.0,1
1817.0,-gneE1,gneJ3,gneJ2,1.0,-57.3552582744651,65.4,41.0,2
1838.0,gneE1,gneJ2,gneJ3,1.0,-150.07228460229734,16.24,3.0,1
1859.0,-gneE1,gneJ3,gneJ2,0.999999999996102,-79.8552582744651,64.5,42.0,2
1881.0,gneE1,gneJ2,gneJ3,1.0,-161.84151537152812,15.76923076923077,4.0,1
1903.0,-gneE1,gneJ3,gneJ2,0.998542817635727,-99.59599901520585,63.74074074074074,44.0,2
1924.0,gneE1,gneJ2,gneJ3,1.0,-175.10077463078738,15.25925925925926,2.0,1
1944.0,-gneE1,gneJ3,gneJ2,2.053029213039888e-07,-121.52457044377728,62.92857142857143,41.0,2
1964.0,gneE1,gneJ2,gneJ3,1.0,-151.24363177364452,16.142857142857142,40.0,1
1985.0,gneE2,gneJ3,gneJ4,0.9999999999901468,-96.1813469210528,31.055555555555557,41.0,2
2005.0,-gneE2,gneJ4,gneJ3,1.0,32.45742168478237,25.05263157894737,39.0,2
2027.0,gneE2,gneJ3,gneJ4,0.9999999999993944,-93.39187323684229,31.210526315789473,34.0,2
2047.0,-gneE2,gneJ4,gneJ3,1.0,39.05742168478237,25.4,32.0,2
2067.0,gneE2,gneJ3,gneJ4,0.9999999999950552,-95.49187323684228,31.1,29.0,2
2088.0,-gneE2,gneJ4,gneJ3,1.0,41.533612160972844,25.523809523809526,28.0,2
2108.0,gneE2,gneJ3,gneJ4,0.9999999997545519,-99.39663514160418,30.904761904761905,27.0,2
2129.0,-gneE2,gneJ4,gneJ3,1.0,41.9881576155183,25.545454545454547,26.0,2
2149.0,gneE2,gneJ3,gneJ4,0.9999987936804267,-107.89663514160418,30.5,22.0,2
2170.0,-gneE2,gneJ4,gneJ3,1.0,38.59685326769221,25.391304347826086,22.0,2
2190.0,gneE2,gneJ3,gneJ4,0.97299763091473,-117.94011340247374,30.043478260869566,20.0,2
2211.0,-gneE2,gneJ4,gneJ3,1.0,31.51351993435888,25.083333333333332,18.0,2
2233.0,gneE2,gneJ3,gneJ4,0.000350006198783248,-129.4817800691404,29.541666666666668,18.0,2
2252.0,-gneE2,gneJ4,gneJ3,1.0,20.873519934358878,24.64,14.0,2
2271.0,-gneE1,gneJ3,gneJ2,1.0,133.440946797602,72.03448275862068,327.0,2
2292.0,gneE1,gneJ2,gneJ3,1.0,-159.10570073916176,15.862068965517242,8.0,1
2312.0,-gneE1,gneJ3,gneJ2,1.0,103.44094679760201,71.0,41.0,2
2334.0,gneE1,gneJ2,gneJ3,1.0,-170.57236740582843,15.466666666666667,4.0,1
2353.0,-gneE1,gneJ3,gneJ2,1.0,74.40868873308588,70.03225806451613,41.0,2
2373.0,gneE1,gneJ2,gneJ3,1.0,-147.79817385744133,16.225806451612904,39.0,1
2392.0,-gneE1,gneJ3,gneJ2,1.0,44.34618873308588,69.0625,39.0,2
2411.0,gneE1,gneJ2,gneJ3,1.0,-128.64192385744133,16.84375,36.0,1
2432.0,-gneE1,gneJ3,gneJ2,1.0,16.164370551267695,68.18181818181819,40.0,2
2452.0,gneE1,gneJ2,gneJ3,1.0,-112.97525719077466,17.333333333333332,33.0,1
2472.0,-gneE1,gneJ3,gneJ2,1.0,-11.1885706252029,67.3529411764706,40.0,2
2492.0,gneE1,gneJ2,gneJ3,1.0,-100.68113954371583,17.705882352941178,30.0,1
2514.0,-gneE1,gneJ3,gneJ2,1.0,-35.81714205377433,66.62857142857143,42.0,2
2534.0,gneE1,gneJ2,gneJ3,1.0,-89.70971097228725,18.02857142857143,29.0,1
2555.0,-gneE1,gneJ3,gneJ2,1.0,-60.733808720441004,65.91666666666667,41.0,2
2577.0,gneE1,gneJ2,gneJ3,1.0,-79.04304430562058,18.333333333333332,29.0,1
2598.0,-gneE1,gneJ3,gneJ2,1.0,-83.0311060177383,65.29729729729729,43.0,2
2618.0,gneE1,gneJ2,gneJ3,1.0,-70.61061187318815,18.56756756756757,27.0,1
2639.0,-gneE1,gneJ3,gneJ2,0.9999999998737528,-106.6890007545804,64.65789473684211,41.0,2
2658.0,gneE1,gneJ2,gneJ3,1.0,-67.26850661003026,18.657894736842106,22.0,1
2679.0,-gneE1,gneJ3,gneJ2,0.2256809518682512,-130.71464178022143,64.02564102564102,40.0,2
2700.0,gneE1,gneJ2,gneJ3,1.0,-66.93517327669693,18.666666666666668,19.0,1
2719.0,gneE2,gneJ3,gneJ4,7.755207194495101e-06,-142.4817800691404,29.0,16.0,2
2738.0,-gneE2,gneJ4,gneJ3,0.9999999999997707,11.604289165128108,24.26923076923077,15.0,2
2758.0,-gneE1,gneJ3,gneJ2,0.9999999999964609,-116.11464178022143,64.4,79.0,2
2779.0,gneE1,gneJ2,gneJ3,1.0,-72.46017327669693,18.525,13.0,1
2799.0,-gneE1,gneJ3,gneJ2,0.9717462905702152,-138.94391007290437,63.829268292682926,41.0,2
2821.0,gneE1,gneJ2,gneJ3,1.0,-79.80163669133108,18.341463414634145,11.0,1
2842.0,-gneE1,gneJ3,gneJ2,5.07952298230234e-08,-159.27724340623772,63.333333333333336,43.0,2
2862.0,gneE1,gneJ2,gneJ3,1.0,-89.89687478656919,18.095238095238095,8.0,1
2883.0,gneE2,gneJ3,gneJ4,0.08051976296590661,-161.71254929990963,28.23076923076923,9.0,2
2903.0,-gneE2,gneJ4,gneJ3,0.9999961777196293,-5.025340464501522,23.62962962962963,7.0,2
2922.0,-gneE1,gneJ3,gneJ2,0.9999999925449611,-142.99817363879586,63.72093023255814,80.0,2
2942.0,gneE1,gneJ2,gneJ3,1.0,-105.61780501912733,17.72093023255814,2.0,1
2963.0,-gneE1,gneJ3,gneJ2,0.02959322775211361,-165.20271909334133,63.20454545454545,41.0,2
2985.0,gneE1,gneJ2,gneJ3,1.0,-120.98144138276369,17.363636363636363,2.0,1
3012.0,gneE2,gneJ3,gneJ4,1.1351716232240797e-07,-181.19403078139112,27.48148148148148,8.0,2
3032.0,-gneE2,gneJ4,gneJ3,0.06934664938973778,-20.096769035930095,23.071428571428573,8.0,2
3052.0,-gneE1,gneJ3,gneJ2,1.0,-139.9804968711191,63.77777777777778,89.0,2
3073.0,gneE1,gneJ2,gneJ3,1.0,-134.04810804943037,17.066666666666666,4.0,1
3094.0,-gneE1,gneJ3,gneJ2,0.9999999977429025,-161.28484469720604,63.30434782608695,42.0,2
3113.0,gneE1,gneJ2,gneJ3,1.0,-149.76549935377818,16.717391304347824,1.0,1
3133.0,-gneE1,gneJ3,gneJ2,0.020271729894970364,-185.07207873975923,62.787234042553195,39.0,2
3153.0,gneE1,gneJ2,gneJ3,1.0,-126.97826531122499,17.21276595744681,40.0,1
3174.0,gneE2,gneJ3,gneJ4,0.9999999548719706,-168.15831649567684,27.964285714285715,41.0,2
3276.0,gneE3,gneJ4,gneJ5,1.0,557.4,603.6,40.0,2
3296.0,-gneE3,gneJ5,gneJ4,0.00046795672563293655,-7.166666666666664,34.666666666666664,26.0,2
3315.0,gneE3,gneJ4,gneJ5,1.0,86.89999999999998,509.5,39.0,2
3334.0,gneE4,gneJ5,gneJ6,0.9995320432743671,0.5,78.0,78.0,2
3355.0,-gneE4,gneJ6,gneJ5,0.5,0.5,40.0,40.0,2
3377.0,gneE4,gneJ5,gneJ6,5.363080335094767e-05,-17.0,60.5,43.0,2
3397.0,gneE5,gneJ6,gneJ7,0.5,0.5,3397.0,3397.0,2
3418.0,-gneE5,gneJ7,gneJ6,0.5,0.5,41.0,41.0,2
3439.0,gneE5,gneJ6,gneJ7,0.0,-1677.0,1719.5,42.0,2
3459.0,gneE10,gneJ7,gneJ14,0.5,0.5,3459.0,3459.0,2
3478.0,gneE11,gneJ14,gneJ10,0.5,0.5,3478.0,3478.0,2
3499.0,gneE8,gneJ10,gneJ11,0.5,0.5,3499.0,3499.0,2
3519.0,-gneE8,gneJ11,gneJ10,0.5,0.5,41.0,41.0,2
3539.0,-gneE11,gneJ10,gneJ14,0.5,0.5,80.0,80.0,2
3560.0,gneE11,gneJ14,gneJ10,0.0,-1718.0,1759.5,41.0,2
3578.0,gneE8,gneJ10,gneJ11,0.0,-1709.5,1789.0,79.0,2
3598.0,gneE9,gneJ11,gneJ12,0.5,0.5,3598.0,3598.0,2
3620.0,-gneE9,gneJ12,gneJ11,1.0,1.0,42.0,42.0,1
3639.0,gneE9,gneJ11,gneJ12,0.0,-1778.0,1819.5,41.0,2
3659.0,-gneE9,gneJ12,gneJ11,1.0,-0.5,40.5,39.0,1
3679.0,-gneE8,gneJ11,gneJ10,1.0,39.5,80.0,119.0,2
3698.0,-gneE11,gneJ10,gneJ14,1.0,40.0,119.5,159.0,2
3718.0,-gneE10,gneJ14,gneJ7,1.0,0.5,279.0,279.0,2
3738.0,-gneE5,gneJ7,gneJ6,1.0,140.0,180.5,320.0,2
3758.0,-gneE4,gneJ6,gneJ5,1.0,182.0,221.5,403.0,2
3778.0,-gneE3,gneJ5,gneJ4,0.9921029164925812,-12.166666666666664,33.0,28.0,2
3798.0,gneE3,gneJ4,gneJ5,4.9613337390426814e-129,-315.52857142857147,442.42857142857144,40.0,2
3818.0,-gneE3,gneJ5,gneJ4,0.01858452463482171,-20.966666666666665,30.8,22.0,2
3837.0,-gneE2,gneJ4,gneJ3,1.0,-25.958838001447337,22.862068965517242,17.0,2
3859.0,gneE2,gneJ3,gneJ4,0.9953305709368239,-179.7100406336079,27.551724137931036,16.0,2
3879.0,-gneE2,gneJ4,gneJ3,1.0,-33.55883800144734,22.6,15.0,2
3900.0,gneE2,gneJ3,gneJ4,0.00043576922376044677,-192.81004063360788,27.1,14.0,2
3920.0,-gneE2,gneJ4,gneJ3,1.0,-43.816902517576374,22.258064516129032,12.0,2
3939.0,-gneE1,gneJ3,gneJ2,1.0,542.6570879269074,78.27083333333333,806.0,2
3960.0,gneE1,gneJ2,gneJ3,1.0,-136.978265311225,17.0,7.0,1
3979.0,-gneE1,gneJ3,gneJ2,1.0,505.16729200854,77.48979591836735,40.0,2
4000.0,gneE1,gneJ2,gneJ3,1.0,-149.712959188776,16.73469387755102,4.0,1
4021.0,-gneE1,gneJ3,gneJ2,1.0,470.38729200854004,76.78,42.0,2
4042.0,gneE1,gneJ2,gneJ3,1.0,-164.152959188776,16.44,2.0,1
4062.0,-gneE1,gneJ3,gneJ2,1.0,435.30886063599104,76.07843137254902,41.0,2
4082.0,gneE1,gneJ2,gneJ3,1.0,-141.05491997308974,16.901960784313726,40.0,1
4102.0,-gneE1,gneJ3,gneJ2,1.0,399.9242452513756,75.38461538461539,40.0,2
4124.0,gneE1,gneJ2,gneJ3,1.0,-119.38184305001282,17.326923076923077,39.0,1
4145.0,-gneE1,gneJ3,gneJ2,1.0,368.15066034571527,74.77358490566037,43.0,2
4168.0,gneE1,gneJ2,gneJ3,1.0,-98.11769210661659,17.735849056603772,39.0,1
4190.0,-gneE1,gneJ3,gneJ2,1.0,338.92843812349304,74.22222222222223,45.0,2
4211.0,gneE1,gneJ2,gneJ3,1.0,-76.26584025476474,18.14814814814815,40.0,1
4231.0,-gneE1,gneJ3,gneJ2,1.0,306.3102563053112,73.61818181818182,41.0,2
4251.0,gneE1,gneJ2,gneJ3,1.0,-79.35674934567383,18.09090909090909,15.0,1
4272.0,-gneE1,gneJ3,gneJ2,1.0,274.27454201959694,73.03571428571429,41.0,2
4293.0,gneE1,gneJ2,gneJ3,1.0,-64.7138922028167,18.357142857142858,33.0,1
4314.0,-gneE1,gneJ3,gneJ2,1.0,243.78331394942148,72.49122807017544,42.0,2
4335.0,gneE1,gneJ2,gneJ3,1.0,-50.327927290535996,18.614035087719298,33.0,1
4355.0,-gneE1,gneJ3,gneJ2,1.0,212.83503808735253,71.94827586206897,41.0,2
4376.0,gneE1,gneJ2,gneJ3,1.0,-37.17275487674289,18.844827586206897,32.0,1
4396.0,-gneE1,gneJ3,gneJ2,1.0,182.41130927379322,71.42372881355932,41.0,2
4417.0,gneE1,gneJ2,gneJ3,1.0,-28.172754876742893,19.0,28.0,1
4437.0,-gneE1,gneJ3,gneJ2,1.0,152.49464260712654,70.91666666666667,41.0,2
4458.0,gneE1,gneJ2,gneJ3,1.0,-23.256088210076225,19.083333333333332,24.0,1
4478.0,-gneE1,gneJ3,gneJ2,1.0,123.06841309892981,70.42622950819673,41.0,2
4499.0,gneE1,gneJ2,gneJ3,1.0,-20.38723575105983,19.131147540983605,22.0,1
4520.0,-gneE1,gneJ3,gneJ2,1.0,95.10067116344594,69.96774193548387,42.0,2
4540.0,gneE1,gneJ2,gneJ3,1.0,-21.500138976866282,19.112903225806452,18.0,1
4560.0,-gneE1,gneJ3,gneJ2,1.0,65.60860767138244,69.4920634920635,40.0,2
4582.0,gneE1,gneJ2,gneJ3,1.0,-25.54775802448533,19.047619047619047,15.0,1
4602.0,-gneE1,gneJ3,gneJ2,1.0,38.546107671382444,69.0625,42.0,2
4624.0,gneE1,gneJ2,gneJ3,1.0,-32.48525802448533,18.9375,12.0,1
4644.0,-gneE1,gneJ3,gneJ2,1.0,11.899953825228593,68.64615384615385,42.0,2
4663.0,gneE1,gneJ2,gneJ3,1.0,-43.254488793716106,18.76923076923077,8.0,1
4683.0,-gneE1,gneJ3,gneJ2,1.0,-17.29701587174111,68.1969696969697,39.0,2
4704.0,gneE1,gneJ2,gneJ3,1.0,-58.78479182401914,18.53030303030303,3.0,1
4724.0,-gneE1,gneJ3,gneJ2,1.0,-44.088060647860516,67.7910447761194,41.0,2
4746.0,gneE1,gneJ2,gneJ3,1.0,-35.66538883894451,18.880597014925375,42.0,1
4768.0,-gneE1,gneJ3,gneJ2,1.0,-67.52923711844875,67.44117647058823,44.0,2
4788.0,gneE1,gneJ2,gneJ3,1.0,-12.885977074238625,19.220588235294116,42.0,1
4808.0,-gneE1,gneJ3,gneJ2,1.0,-94.57271537931831,67.04347826086956,40.0,2
4828.0,gneE1,gneJ2,gneJ3,1.0,4.635762056196157,19.47826086956522,37.0,1
4849.0,-gneE1,gneJ3,gneJ2,1.0,-120.24414395074689,66.67142857142858,41.0,2
4869.0,gneE1,gneJ2,gneJ3,1.0,19.935762056196157,19.7,35.0,1
4889.0,-gneE1,gneJ3,gneJ2,1.0,-146.53991859863422,66.29577464788733,40.0,2
4909.0,gneE1,gneJ2,gneJ3,1.0,31.076607126618693,19.859154929577464,31.0,1
4929.0,-gneE1,gneJ3,gneJ2,0.9999999985322958,-172.4704741541898,65.93055555555556,40.0,2
4949.0,gneE1,gneJ2,gneJ3,1.0,35.159940459952026,19.916666666666668,24.0,1
4969.0,-gneE1,gneJ3,gneJ2,0.005294511487363148,-198.0458166199432,65.57534246575342,40.0,2
4989.0,gneE1,gneJ2,gneJ3,1.0,37.21473498049997,19.945205479452056,22.0,1
5009.0,gneE2,gneJ3,gneJ4,0.3390681037083637,-198.7132664400595,26.903225806451612,21.0,2
5028.0,-gneE2,gneJ4,gneJ3,1.0,-47.941902517576374,22.125,18.0,2
5049.0,gneE2,gneJ3,gneJ4,3.4962490078294646e-05,-208.3070164400595,26.59375,17.0,2
5069.0,-gneE2,gneJ4,gneJ3,1.0,-55.820690396364256,21.87878787878788,14.0,2
5087.0,-gneE1,gneJ3,gneJ2,1.0,-146.329600403727,66.28378378378379,118.0,2
5107.0,gneE1,gneJ2,gneJ3,1.0,26.41743768320267,19.7972972972973,9.0,1
5128.0,-gneE1,gneJ3,gneJ2,0.9999999999999999,-171.27626707039366,65.94666666666667,41.0,2
5148.0,gneE1,gneJ2,gneJ3,1.0,13.790771016536006,19.626666666666665,7.0,1
5168.0,-gneE1,gneJ3,gneJ2,0.9999890863594606,-196.8815302282884,65.60526315789474,40.0,2
5189.0,gneE1,gneJ2,gneJ3,1.0,-0.6434395097797854,19.43421052631579,5.0,1
5210.0,-gneE1,gneJ3,gneJ2,6.974694282741114e-06,-220.1802315269897,65.2987012987013,42.0,2
5230.0,gneE1,gneJ2,gneJ3,1.0,-17.85123171757199,19.207792207792206,2.0,1
